Time studying,SES,Motivation,ECs,Delta
0,0,0,0,-0.00768388402507858
0,0,0,1,-0.006316820711995019
0,0,1,0,-0.005762871836949568
0,0,1,1,-0.006190451904482253
0,1,0,0,-0.007411384135699417
0,1,0,1,-0.006303656430214466
0,1,1,0,-0.0035950026454976136
0,1,1,1,-0.006468635476238993
0,2,0,0,-0.007154659809038788
0,2,0,1,-0.007071554446195005
0,2,1,0,-0.004056181485987256
0,2,1,1,-0.007397891163699544
1,0,0,0,0.0001879089023001379
1,0,0,1,0.0009172054904509619
1,0,1,0,-0.0028697019640201438
1,0,1,1,-0.0008796086185467455
1,1,0,0,2.2104063530037354e-05
1,1,0,1,0.0009757171717352797
1,1,1,0,-0.009083908346655512
1,1,1,1,-0.006668684873524122
1,2,0,0,-0.0017593246567653709
1,2,0,1,-0.000211175037813649
1,2,1,0,-0.008215469262361663
1,2,1,1,-0.005940868936440746
2,0,0,0,0.007495975122778414
2,0,0,1,0.005399615221544182
2,0,1,0,0.008632573800969573
2,0,1,1,0.007070060523029081
2,1,0,0,0.007389280072169213
2,1,0,1,0.005327939258479186
2,1,1,0,0.012678910992153125
2,1,1,1,0.013137320349763115
2,2,0,0,0.008913984465804048
2,2,0,1,0.00728272948400871
2,2,1,0,0.012271650748348906
2,2,1,1,0.013338760100140234
