Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.5923161159749214
0,0,0,1,0.6936831792880049
0,0,1,0,0.2942371281630504
0,0,1,1,0.39380954809551777
0,1,0,0,0.5425886158643006
0,1,0,1,0.6436963435697856
0,1,1,0,0.09640499735450239
0,1,1,1,0.19353136452376102
0,2,0,0,0.39284534019096123
0,2,0,1,0.492928445553805
0,2,1,0,0.09594381851401275
0,2,1,1,0.19260210883630047
1,0,0,0,0.25018790890230014
1,0,0,1,0.20091720549045097
1,0,1,0,0.49713029803597986
1,0,1,1,0.44912039138145327
1,1,0,0,0.30002210406353
1,1,0,1,0.2509757171717353
1,1,1,0,0.3909160916533445
1,1,1,1,0.34333131512647586
1,2,0,0,0.39824067534323465
1,2,0,1,0.34978882496218633
1,2,1,0,0.2917845307376383
1,2,1,1,0.24405913106355925
2,0,0,0,0.1574959751227784
2,0,0,1,0.10539961522154419
2,0,1,0,0.20863257380096958
2,0,1,1,0.15707006052302908
2,1,0,0,0.1573892800721692
2,1,0,1,0.10532793925847919
2,1,1,0,0.5126789109921531
2,1,1,1,0.4631373203497631
2,2,0,0,0.20891398446580406
2,2,0,1,0.1572827294840087
2,2,1,0,0.6122716507483489
2,2,1,1,0.5633387601001403
