Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,0.7000000000000001
0,0,1,0,0.3
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,7.51772876577911e-61
0,2,1,0,0.1
0,2,1,1,2.8529100254981768e-46
1,0,0,0,0.25
1,0,0,1,0.19999999999999998
1,0,1,0,0.5
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,1.0
1,2,1,0,0.3
1,2,1,1,1.0
2,0,0,0,0.15
2,0,0,1,0.09999999999999999
2,0,1,0,0.2
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,2.160091419939103e-61
2,2,1,0,0.6
2,2,1,1,8.465372623415591e-46
