Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,1.9774187441848396e-52
0,0,1,0,0.3
0,0,1,1,1.6478364909350347e-43
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.25
1,0,0,1,1.0
1,0,1,0,0.5
1,0,1,1,1.0
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.15
2,0,0,1,2.824883920264055e-53
2,0,1,0,0.2
2,0,1,1,6.179386841006389e-44
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
