Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.0
0,0,0,1,1.1102230246251565e-16
0,0,1,0,0.0
0,0,1,1,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,2,0,0,0.0
0,2,0,1,-0.02589809125569359
0,2,1,0,0.0
0,2,1,1,-0.04110785600144168
1,0,0,0,0.0
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,0.0
1,0,1,1,0.0
1,1,0,0,0.0
1,1,0,1,0.0
1,1,1,0,0.0
1,1,1,1,0.0
1,2,0,0,0.0
1,2,0,1,-0.018128663878985374
1,2,1,0,0.0
1,2,1,1,-0.05138482000180222
2,0,0,0,0.0
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,0.0
2,0,1,1,0.0
2,1,0,0,0.0
2,1,0,1,0.0
2,1,1,0,0.0
2,1,1,1,0.0
2,2,0,0,0.0
2,2,0,1,0.04402675513467916
2,2,1,0,0.0
2,2,1,1,0.09249267600324385
