Time studying,SES,Motivation,ECs,Delta
0,0,0,0,-0.0025386226625175867
0,0,0,1,1.1102230246251565e-16
0,0,1,0,-0.026405007738685038
0,0,1,1,-0.00578235274507094
0,1,0,0,0.0
0,1,0,1,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,2,0,0,0.0
0,2,0,1,0.0
0,2,1,0,0.0
0,2,1,1,0.0
1,0,0,0,-0.0010577594427156611
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,0.03235003300103245
1,0,1,1,0.007950735024472466
1,1,0,0,0.0
1,1,0,1,0.0
1,1,1,0,0.0
1,1,1,1,0.0
1,2,0,0,0.0
1,2,0,1,0.0
1,2,1,0,0.0
1,2,1,1,0.0
2,0,0,0,0.003596382105233331
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,-0.005945025262347553
2,0,1,1,-0.002168382279401554
2,1,0,0,0.0
2,1,0,1,0.0
2,1,1,0,0.0
2,1,1,1,0.0
2,2,0,0,0.0
2,2,0,1,0.0
2,2,1,0,0.0
2,2,1,1,0.0
