Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.0
0,0,0,1,1.1102230246251565e-16
0,0,1,0,0.0
0,0,1,1,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,2,0,0,0.0
0,2,0,1,0.0
0,2,1,0,0.0
0,2,1,1,-0.0744575741108302
1,0,0,0,0.0
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,0.0
1,0,1,1,0.0
1,1,0,0,0.0
1,1,0,1,0.0
1,1,1,0,0.0
1,1,1,1,0.0
1,2,0,0,0.0
1,2,0,1,0.0
1,2,1,0,0.0
1,2,1,1,-0.09307196763853776
2,0,0,0,0.0
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,0.0
2,0,1,1,0.0
2,1,0,0,0.0
2,1,0,1,0.0
2,1,1,0,0.0
2,1,1,1,0.0
2,2,0,0,0.0
2,2,0,1,0.0
2,2,1,0,0.0
2,2,1,1,0.16752954174936785
