Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.0
0,0,0,1,1.1102230246251565e-16
0,0,1,0,0.0
0,0,1,1,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,2,0,0,0.0
0,2,0,1,0.020542380101022384
0,2,1,0,0.0
0,2,1,1,0.06899850852374628
1,0,0,0,0.0
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,0.0
1,0,1,1,0.0
1,1,0,0,0.0
1,1,0,1,0.0
1,1,1,0,0.0
1,1,1,1,0.0
1,2,0,0,0.0
1,2,0,1,-0.014379666070715669
1,2,1,0,0.0
1,2,1,1,-0.02156203391367073
2,0,0,0,0.0
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,0.0
2,0,1,1,0.0
2,1,0,0,0.0
2,1,0,1,0.0
2,1,1,0,0.0
2,1,1,1,0.0
2,2,0,0,0.0
2,2,0,1,-0.006162714030306715
2,2,1,0,0.0
2,2,1,1,-0.04743647461007561
