iteration,model,mean_loss,std_loss
0,util,0.12539989747107028,0.048121758280568666
1,util,0.11853722017258406,0.04478680444167982
2,util,0.09737152562476695,0.036741092172300524
3,util,0.0873469565436244,0.03185583591106172
4,util,0.07901702268049121,0.02382747555416459
5,util,0.07309349974617362,0.01804292026721143
6,util,0.06690475840121507,0.015696764155125068
7,util,0.05922909060493112,0.01169326394997784
8,util,0.05415092134848237,0.007535135967351355
9,util,0.04923220548778772,0.004298416277725676
10,util,0.04519632492214441,0.00395052370230255
11,util,0.042345026805996895,0.004257048395296885
12,util,0.04036221647635102,0.006107907878240462
13,util,0.03748865351080895,0.007515720900860003
14,util,0.03523674398194999,0.009302570040406575
15,util,0.03298420824110508,0.009896809134131114
16,util,0.03306194145930931,0.00971420407709639
17,util,0.03093191884458065,0.011015346789210196
18,util,0.030777186909690498,0.009612273746763402
19,util,0.028757493807934225,0.011125204703159168
20,util,0.027804947721306233,0.010812714323240612
21,util,0.025835483202245088,0.01010693561125228
22,util,0.023373749568127097,0.009562638303936525
23,util,0.02252207900979556,0.009576595145083397
24,util,0.02065257780603133,0.009442528413401714
25,util,0.01920518825761974,0.008714604666751164
26,util,0.01853857672060258,0.008681789042159367
27,util,0.01598526192130521,0.006322075995976915
28,util,0.014879064243577886,0.0063227492529927916
29,util,0.013627463289303705,0.005645044491758092
30,util,0.012540730074979365,0.004827911252662452
31,util,0.010809910639654845,0.004611684900103833
32,util,0.009356855289079249,0.0035451925239292042
33,util,0.008632719560991972,0.0033375408180994206
34,util,0.008206524078268558,0.0028301728369214295
35,util,0.007298228284344077,0.0026431307481815896
36,util,0.006796525414101779,0.002211509008117882
37,util,0.006137513124849647,0.002189927854444898
38,util,0.005713810890447348,0.0018679083458981367
39,util,0.005291884697508067,0.001980466428245102
40,util,0.004561301171779632,0.001593971220588271
41,util,0.004237990090623498,0.0014879987069206604
42,util,0.003860936937853694,0.0016000843638903398
43,util,0.003558329622610472,0.0014998723668931601
44,util,0.003160556789953262,0.0014149508824515752
45,util,0.002912817253090907,0.001450133272746099
46,util,0.0024951609564595858,0.0012517901809746186
47,util,0.002200302894198103,0.0011568610033430204
48,util,0.0019677124441659544,0.0010844796885467738
49,util,0.001729991036991123,0.0009961079749016626
50,util,0.001449643943637966,0.0008971685740971649
51,util,0.0012929856532718986,0.000805444936775984
52,util,0.00105984268571774,0.0006789060653020571
53,util,0.0008921548200305551,0.0005902927558610827
54,util,0.0007639294078762759,0.00048505473793823955
55,util,0.0006494392220136547,0.0003760574930793858
56,util,0.0005829927795639378,0.0003877763493785112
57,util,0.0005269720602154848,0.00036352126010792907
58,util,0.000430710456032557,0.0003124659119770844
59,util,0.0004015325048885643,0.00033046397677081524
60,util,0.00033977903863160466,0.00029036585880719745
61,util,0.00027795272753564857,0.00023577183365790686
62,util,0.0002459052617444968,0.00020608754566244487
63,util,0.0002070142006938891,0.00020091218135876842
64,util,0.0001818533981213477,0.00018886170768232495
65,util,0.00014419225253939238,0.00014955806767221076
66,util,0.00011459465708007599,0.0001322271389122718
67,util,0.00010653320760013685,0.00011767028870370037
68,util,8.595660482383139e-05,9.876594886730291e-05
69,util,6.827861719528983e-05,6.659065260176166e-05
70,util,5.479282528284557e-05,6.630328877836521e-05
71,util,4.9342348913512526e-05,5.6917722408248365e-05
72,util,4.365979515142726e-05,4.955614299910456e-05
73,util,3.345302223183744e-05,3.328505047902494e-05
74,util,3.202610147454266e-05,3.2027256049812934e-05
75,util,3.114940854402448e-05,3.194508810652315e-05
76,util,2.7199223180076614e-05,2.8401223990077525e-05
77,util,2.8767079213452008e-05,2.7240310497659837e-05
78,util,2.759926380360156e-05,2.5100055709901295e-05
79,util,2.560739306360915e-05,2.2272607937264196e-05
80,util,2.62777433005823e-05,2.07271308236474e-05
81,util,2.5487086756896814e-05,1.8704162115886886e-05
82,util,2.4198806790991512e-05,1.762493784233556e-05
83,util,2.3488761099770274e-05,1.704654166289019e-05
84,util,2.0784166461638164e-05,1.3841732709760818e-05
85,util,2.0463194836466416e-05,1.3289187825153531e-05
86,util,1.9467285943122192e-05,1.1835802879498463e-05
87,util,1.7609038936541312e-05,1.085927452339838e-05
88,util,1.7172361180044505e-05,1.0458854229248962e-05
89,util,1.55842498853076e-05,9.516068780706669e-06
90,util,1.562869476998685e-05,1.0065260363231818e-05
91,util,1.4403710606529785e-05,8.456675625500179e-06
92,util,1.3686816258484668e-05,8.350738873037027e-06
93,util,1.2767107949116507e-05,7.01302186196376e-06
94,util,1.2985498186708355e-05,7.949018727576554e-06
95,util,1.260172586315833e-05,6.9003900100620985e-06
96,util,1.1287103071495607e-05,7.009222073147349e-06
97,util,1.1713824052321798e-05,6.477329735118152e-06
98,util,1.0307484112779264e-05,6.012706195665504e-06
99,util,9.533008540074662e-06,4.617516101222997e-06
100,util,8.758405319895246e-06,4.582293004209616e-06
101,util,8.208842498618196e-06,4.923898699315514e-06
102,util,6.920265802818904e-06,4.250208472420642e-06
103,util,5.874482034162742e-06,2.9608571705529517e-06
104,util,5.629676487686197e-06,3.6091277465972323e-06
105,util,4.844126439138563e-06,2.9510482446648094e-06
106,util,4.220475461877981e-06,2.6310960025708864e-06
107,util,3.852807460589247e-06,2.2798815784822627e-06
108,util,3.4490388756580616e-06,2.3298446124997238e-06
109,util,3.2102770925668267e-06,2.060947833051067e-06
110,util,2.9148968841674618e-06,2.2584969090122402e-06
111,util,2.5224952206004405e-06,2.0429163923916237e-06
112,util,2.5080649308151238e-06,2.065851534645387e-06
113,util,2.1296768538192625e-06,1.959545314095657e-06
114,util,1.8931042338485304e-06,1.8082908604729722e-06
115,util,1.5930355957693987e-06,1.44776733068101e-06
116,util,1.4150055838157982e-06,1.3371446526784673e-06
117,util,1.2936652411799088e-06,1.4991355965550759e-06
118,util,1.1066146050187076e-06,1.154358273664069e-06
119,util,8.517650568862223e-07,7.610815058858659e-07
120,util,7.740332286904072e-07,7.765105902184512e-07
121,util,5.920521597957417e-07,5.061937946861514e-07
122,util,5.327447349978698e-07,4.600973697167559e-07
123,util,4.964632633752686e-07,4.716881959211786e-07
124,util,4.3609387726809e-07,3.8786053096152475e-07
125,util,3.6979277696858047e-07,3.1907237950119883e-07
