Time studying,SES,Motivation,ECs,Delta
0,0,0,0,8.640629208434003e-05
0,0,0,1,1.1102230246251565e-16
0,0,1,0,0.005040378964187797
0,0,1,1,0.0
0,1,0,0,-0.005051486766311952
0,1,0,1,-0.011201450855280237
0,1,1,0,0.0007853403141361293
0,1,1,1,0.011709806695346825
0,2,0,0,0.0
0,2,0,1,0.0
0,2,1,0,0.0
0,2,1,1,0.0
1,0,0,0,0.026513764683988417
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,0.007799670999105723
1,0,1,1,0.0
1,1,0,0,0.016281811891423137
1,1,0,1,0.009178710112247801
1,1,1,0,0.00837696335078536
1,1,1,1,0.030906150345848538
1,2,0,0,0.0
1,2,0,1,0.0
1,2,1,0,0.0
1,2,1,1,0.0
2,0,0,0,-0.0266001709760728
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,-0.012840049963293632
2,0,1,1,0.0
2,1,0,0,-0.011230325125111296
2,1,0,1,0.002022740743032478
2,1,1,0,-0.009162303664921434
2,1,1,1,-0.04261595704119536
2,2,0,0,0.0
2,2,0,1,0.0
2,2,1,0,0.0
2,2,1,1,0.0
