Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6000864062920843
0,0,0,1,0.7000000000000001
0,0,1,0,0.3050403789641878
0,0,1,1,0.4
0,1,0,0,0.5449485132336881
0,1,0,1,0.6387985491447198
0,1,1,0,0.10078534031413613
0,1,1,1,0.21170980669534684
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.2765137646839884
1,0,0,1,0.19999999999999998
1,0,1,0,0.5077996709991057
1,0,1,1,0.45
1,1,0,0,0.3162818118914231
1,1,0,1,0.2591787101122478
1,1,1,0,0.4083769633507854
1,1,1,1,0.3809061503458485
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.1233998290239272
2,0,0,1,0.09999999999999999
2,0,1,0,0.18715995003670638
2,0,1,1,0.15
2,1,0,0,0.1387696748748887
2,1,0,1,0.10202274074303248
2,1,1,0,0.49083769633507857
2,1,1,1,0.40738404295880465
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
