Time studying,SES,Motivation,ECs,Delta
0,0,0,0,-0.5600656035888179
0,0,0,1,1.1102230246251565e-16
0,0,1,0,-0.2485445457147258
0,0,1,1,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,2,0,0,0.0
0,2,0,1,0.0
0,2,1,0,0.0
0,2,1,1,0.0
1,0,0,0,-0.23336066816200746
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,-0.414240909524543
1,0,1,1,0.0
1,1,0,0,0.0
1,1,0,1,0.0
1,1,1,0,0.0
1,1,1,1,0.0
1,2,0,0,0.0
1,2,0,1,0.0
1,2,1,0,0.0
1,2,1,1,0.0
2,0,0,0,0.7934262717508254
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,0.6627854552392689
2,0,1,1,0.0
2,1,0,0,0.0
2,1,0,1,0.0
2,1,1,0,0.0
2,1,1,1,0.0
2,2,0,0,0.0
2,2,0,1,0.0
2,2,1,0,0.0
2,2,1,1,0.0
