Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.0
0,0,0,1,1.1102230246251565e-16
0,0,1,0,0.0
0,0,1,1,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,2,0,0,0.0
0,2,0,1,-0.3737088510498606
0,2,1,0,0.0
0,2,1,1,-0.19978855423602082
1,0,0,0,0.0
1,0,0,1,-2.7755575615628914e-17
1,0,1,0,0.0
1,0,1,1,0.0
1,1,0,0,0.0
1,1,0,1,0.0
1,1,1,0,0.0
1,1,1,1,0.0
1,2,0,0,0.0
1,2,0,1,-0.2615961957349024
1,2,1,0,0.0
1,2,1,1,-0.249735692795026
2,0,0,0,0.0
2,0,0,1,-1.3877787807814457e-17
2,0,1,0,0.0
2,0,1,1,0.0
2,1,0,0,0.0
2,1,0,1,0.0
2,1,1,0,0.0
2,1,1,1,0.0
2,2,0,0,0.0
2,2,0,1,0.6353050467847631
2,2,1,0,0.0
2,2,1,1,0.44952424703104676
