Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.5847610197578317
0,0,0,1,0.7000000000000001
0,0,1,0,0.2906314016880268
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.24365042489909625
1,0,0,1,0.19999999999999998
1,0,1,0,0.4843856694800442
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.171588555343072
2,0,0,1,0.09999999999999999
2,0,1,0,0.22498292883192902
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
