Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,0.8935669442143848
0,0,1,0,0.3
0,0,1,1,0.7379512128548664
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.25
1,0,0,1,0.07095537052374357
1,0,1,0,0.5
1,0,1,1,0.19653659035885027
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.15
2,0,0,1,0.03547768526187178
2,0,1,0,0.2
2,0,1,1,0.06551219678628345
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
