iteration,utility,type,mean,std
0,health,subjective,0.4303571428571427,0.09386472572108158
1,health,subjective,0.4335714285714286,0.09781020772237363
2,health,subjective,0.4207142857142856,0.08683493607096732
3,health,subjective,0.45142857142857146,0.08489489299800586
4,health,subjective,0.4210714285714287,0.08195553174541344
5,health,subjective,0.4353571428571426,0.08859662659998944
6,health,subjective,0.4414285714285712,0.08653181554804461
7,health,subjective,0.44714285714285745,0.09980593414119178
8,health,subjective,0.4307142857142859,0.09158747352188755
9,health,subjective,0.45678571428571446,0.09303485741310913
10,health,subjective,0.4160714285714288,0.08591865516942432
11,health,subjective,0.44107142857142856,0.08941062690800038
12,health,subjective,0.42785714285714277,0.0966241403055982
13,health,subjective,0.4207142857142858,0.0850540044528733
14,health,subjective,0.4142857142857143,0.09897433186107868
15,health,subjective,0.42035714285714276,0.0944715430644572
16,health,subjective,0.43357142857142833,0.09077613189847306
17,health,subjective,0.41535714285714304,0.07753455450866498
18,health,subjective,0.440357142857143,0.07954831031184373
19,health,subjective,0.43714285714285694,0.09795355000807103
20,health,subjective,0.43249999999999994,0.08761217299635284
21,health,subjective,0.43750000000000006,0.10694922980135035
22,health,subjective,0.43035714285714277,0.0922196523833954
23,health,subjective,0.43285714285714283,0.08693769760757482
24,health,subjective,0.44,0.08948263997638234
25,health,subjective,0.425357142857143,0.08483101449592695
26,health,subjective,0.4246428571428571,0.10200727765153596
27,health,subjective,0.44392857142857145,0.09052778917130856
28,health,subjective,0.4492857142857142,0.0892399882911472
29,health,subjective,0.4371428571428572,0.09690622439518845
30,health,subjective,0.4267857142857142,0.10647110846974177
31,health,subjective,0.4299999999999999,0.08761581256967772
32,health,subjective,0.42000000000000026,0.08513494690004494
33,health,subjective,0.43714285714285706,0.09050876606546947
34,health,subjective,0.43642857142857105,0.09497314335739168
35,health,subjective,0.42892857142857144,0.07977887168509552
36,health,subjective,0.430357142857143,0.08753643556268674
37,health,subjective,0.44107142857142867,0.09785649113443044
38,health,subjective,0.43499999999999994,0.08487385597798316
39,health,subjective,0.4403571428571429,0.09755362209407432
40,health,subjective,0.4417857142857142,0.0934943794010733
41,health,subjective,0.4389285714285712,0.09109523498369546
42,health,subjective,0.41642857142857154,0.09192110636800653
43,health,subjective,0.4457142857142856,0.08057193515544898
44,health,subjective,0.4346428571428571,0.09583880493105203
45,health,subjective,0.43642857142857155,0.10020132794753261
46,health,subjective,0.42928571428571416,0.08747886042015046
47,health,subjective,0.4485714285714287,0.0822700878019391
48,health,subjective,0.4271428571428571,0.08688486399734267
49,health,subjective,0.43500000000000005,0.08709893506694509
50,health,subjective,0.4471428571428572,0.10120196013266676
51,health,subjective,0.43499999999999983,0.08665848993347983
52,health,subjective,0.42821428571428555,0.09482731351121944
53,health,subjective,0.4392857142857143,0.09401747557920129
54,health,subjective,0.43250000000000033,0.07489703816928016
55,health,subjective,0.43750000000000006,0.0862150550326665
56,health,subjective,0.4289285714285716,0.09154220059511303
57,health,subjective,0.4375,0.09413610966497998
58,health,subjective,0.4585714285714287,0.08567260891537821
59,health,subjective,0.4407142857142858,0.08484980728274147
60,health,subjective,0.43571428571428583,0.09449111825230683
61,health,subjective,0.43500000000000016,0.10231753295999868
62,health,subjective,0.455,0.0881528125889749
63,health,subjective,0.43607142857142867,0.08380233667776252
64,health,subjective,0.45178571428571407,0.09467654387008255
65,health,subjective,0.44071428571428556,0.08454862144207378
66,health,subjective,0.4589285714285713,0.08955317084371307
67,health,subjective,0.46142857142857147,0.08386091497965238
68,health,subjective,0.43964285714285717,0.09226390166809773
69,health,subjective,0.45428571428571424,0.0936885853261119
70,health,subjective,0.4382142857142859,0.09647551767264105
71,health,subjective,0.4514285714285713,0.09098665522246345
72,health,subjective,0.4417857142857141,0.08293946034085739
73,health,subjective,0.45821428571428585,0.08792607632528125
74,health,subjective,0.4410714285714283,0.09235786100704103
75,health,subjective,0.44392857142857134,0.097448966235708
76,health,subjective,0.4664285714285717,0.08789197915623476
77,health,subjective,0.432857142857143,0.08649643144697494
78,health,subjective,0.4467857142857144,0.08322194937120167
79,health,subjective,0.46214285714285724,0.07656863001282453
80,health,subjective,0.4589285714285715,0.08411832652367057
81,health,subjective,0.4532142857142857,0.07900771726708156
82,health,subjective,0.4482142857142858,0.08955317084371311
83,health,subjective,0.46000000000000013,0.08620099909454618
84,health,subjective,0.4525000000000001,0.0993672583943842
85,health,subjective,0.45107142857142857,0.09239652237470185
86,health,subjective,0.4378571428571428,0.09015576090572242
87,health,subjective,0.44357142857142845,0.09051722127274334
88,health,subjective,0.4482142857142858,0.09235786100704112
89,health,subjective,0.4325000000000003,0.09284271865991031
90,health,subjective,0.4614285714285716,0.10122716421746784
91,health,subjective,0.45321428571428585,0.08974098215169593
92,health,subjective,0.44214285714285717,0.08657013200349205
93,health,subjective,0.43,0.08905971397360998
94,health,subjective,0.4342857142857142,0.08567260891537821
95,health,subjective,0.45392857142857124,0.08839484124757323
96,health,subjective,0.45321428571428596,0.0887404780750002
97,health,subjective,0.450357142857143,0.08688119380357694
98,health,subjective,0.4560714285714286,0.08933641417674647
99,health,subjective,0.4335714285714285,0.08689954322230295
100,health,subjective,0.450357142857143,0.08173735313771288
