health,social,grades
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5,0.22,0.28
0.5027652086475616,0.2156862745098039,0.2815485168426345
0.5027652086475616,0.2156862745098039,0.2815485168426345
0.5027652086475616,0.2156862745098039,0.2815485168426345
0.5027652086475616,0.2156862745098039,0.2815485168426345
0.5027652086475616,0.2156862745098039,0.2815485168426345
0.5054908948452566,0.21143420404139968,0.2830749011133437
0.5054908948452566,0.21143420404139968,0.2830749011133437
0.5054908948452566,0.21143420404139968,0.2830749011133437
0.508177045071175,0.20724380968896705,0.284579145239858
0.508177045071175,0.20724380968896705,0.284579145239858
0.508177045071175,0.20724380968896705,0.284579145239858
0.508177045071175,0.20724380968896705,0.284579145239858
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5108236711634554,0.2031150729850095,0.286061255851535
0.5134308095724319,0.1990479370670063,0.28752125336056183
0.5159985205988024,0.19504230786586835,0.2889591715353293
0.5185268876201006,0.19109805531264307,0.2903750570672563
0.5185268876201006,0.19109805531264307,0.2903750570672563
0.5185268876201006,0.19109805531264307,0.2903750570672563
0.5185268876201006,0.19109805531264307,0.2903750570672563
0.5185268876201006,0.19109805531264307,0.2903750570672563
0.5185268876201006,0.19109805531264307,0.2903750570672563
0.521016016307679,0.1872150145600207,0.29176896913230027
0.5234660338363377,0.18339298721531322,0.2931409789483491
0.5234660338363377,0.18339298721531322,0.2931409789483491
0.5234660338363377,0.18339298721531322,0.2931409789483491
0.5258770880886544,0.17963174258169914,0.2944911693296465
0.528249346855989,0.17593101890465707,0.29581963423935387
0.528249346855989,0.17593101890465707,0.29581963423935387
0.5305829970380488,0.17229052462064384,0.29712647834130734
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5328782438428139,0.16870993960521022,0.29841181655197585
0.5351353099885334,0.16518891641788774,0.2996757735935788
0.5351353099885334,0.16518891641788774,0.2996757735935788
0.5373544349094093,0.1617270815413215,0.30091848354926926
0.5395358739664954,0.15832403661226704,0.3021400894212375
0.5395358739664954,0.15832403661226704,0.3021400894212375
0.5395358739664954,0.15832403661226704,0.3021400894212375
0.5395358739664954,0.15832403661226704,0.3021400894212375
0.5416798976652475,0.15497935964221388,0.3033407426925387
0.5437867908810635,0.15169260622554082,0.30452060289339566
0.5437867908810635,0.15169260622554082,0.30452060289339566
0.5437867908810635,0.15169260622554082,0.30452060289339566
0.5437867908810635,0.15169260622554082,0.30452060289339566
0.545856852094069,0.14846331073325228,0.3056798371726787
0.545856852094069,0.14846331073325228,0.3056798371726787
0.545856852094069,0.14846331073325228,0.3056798371726787
0.545856852094069,0.14846331073325228,0.3056798371726787
0.5478903926343048,0.1452909874904845,0.30681861987521075
0.5478903926343048,0.1452909874904845,0.30681861987521075
0.5478903926343048,0.1452909874904845,0.30681861987521075
0.5478903926343048,0.1452909874904845,0.30681861987521075
0.5478903926343048,0.1452909874904845,0.30681861987521075
0.5478903926343048,0.1452909874904845,0.30681861987521075
0.5498877359383897,0.14217513193611206,0.3079371321254983
0.5498877359383897,0.14217513193611206,0.3079371321254983
0.5518492168186404,0.13911522176292088,0.3090355614184387
0.5518492168186404,0.13911522176292088,0.3090355614184387
0.5518492168186404,0.13911522176292088,0.3090355614184387
0.5518492168186404,0.13911522176292088,0.3090355614184387
0.5518492168186404,0.13911522176292088,0.3090355614184387
