health,social,grades
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
0.2,0.43,0.37
