iteration,utility,type,mean,std
0,util_2,subjective,0.12250000000000005,0.04877452287447466
1,util_2,subjective,0.12214285714285714,0.04522618890936212
2,util_2,subjective,0.12964285714285714,0.0480897863482508
3,util_2,subjective,0.1253571428571428,0.04474844655837514
4,util_2,subjective,0.12321428571428573,0.04385010413503097
5,util_2,subjective,0.13285714285714284,0.04074560199129045
6,util_2,subjective,0.12071428571428575,0.04917171079855921
7,util_2,subjective,0.12250000000000001,0.04410533541698667
8,util_2,subjective,0.11428571428571428,0.04791574237499549
9,util_2,subjective,0.1285714285714286,0.04922874554317939
0,util_2,objective,0.12250000000000005,0.04877452287447466
1,util_2,objective,0.12214285714285714,0.04522618890936212
2,util_2,objective,0.12964285714285714,0.0480897863482508
3,util_2,objective,0.1253571428571428,0.04474844655837514
4,util_2,objective,0.12321428571428573,0.04385010413503097
5,util_2,objective,0.13285714285714284,0.04074560199129045
6,util_2,objective,0.12071428571428575,0.04917171079855921
7,util_2,objective,0.12250000000000001,0.04410533541698667
8,util_2,objective,0.11428571428571428,0.04791574237499549
9,util_2,objective,0.1285714285714286,0.04922874554317939
0,util_1,subjective,0.12749999999999995,0.04877452287447466
1,util_1,subjective,0.1278571428571429,0.04522618890936212
2,util_1,subjective,0.12035714285714282,0.0480897863482508
3,util_1,subjective,0.12464285714285717,0.044748446558375156
4,util_1,subjective,0.12678571428571422,0.04385010413503098
5,util_1,subjective,0.11714285714285717,0.04074560199129045
6,util_1,subjective,0.12928571428571428,0.04917171079855921
7,util_1,subjective,0.12749999999999997,0.04410533541698668
8,util_1,subjective,0.13571428571428565,0.047915742374995504
9,util_1,subjective,0.1214285714285714,0.04922874554317939
0,util_1,objective,0.12749999999999995,0.04877452287447466
1,util_1,objective,0.1278571428571429,0.04522618890936212
2,util_1,objective,0.12035714285714282,0.0480897863482508
3,util_1,objective,0.12464285714285717,0.044748446558375156
4,util_1,objective,0.12678571428571422,0.04385010413503098
5,util_1,objective,0.11714285714285717,0.04074560199129045
6,util_1,objective,0.12928571428571428,0.04917171079855921
7,util_1,objective,0.12749999999999997,0.04410533541698668
8,util_1,objective,0.13571428571428565,0.047915742374995504
9,util_1,objective,0.1214285714285714,0.04922874554317939
