iteration,utility,type,mean,std
0,util,subjective,0.5071428571428571,0.20341472665568786
1,util,subjective,0.5185714285714285,0.19341717628388808
2,util,subjective,0.5342857142857141,0.20164628558393016
3,util,subjective,0.5157142857142856,0.1614917701826774
4,util,subjective,0.5,0.18571428571428583
5,util,subjective,0.5114285714285716,0.21013115437939311
6,util,subjective,0.49428571428571444,0.2064471074228585
7,util,subjective,0.5199999999999999,0.1953750971117571
8,util,subjective,0.4957142857142857,0.17894817400463134
9,util,subjective,0.4885714285714286,0.18863635245993227
0,util,objective,0.5071428571428571,0.20341472665568786
1,util,objective,0.5185714285714285,0.19341717628388808
2,util,objective,0.5342857142857141,0.20164628558393016
3,util,objective,0.5157142857142856,0.1614917701826774
4,util,objective,0.5,0.18571428571428583
5,util,objective,0.5114285714285716,0.21013115437939311
6,util,objective,0.49428571428571444,0.2064471074228585
7,util,objective,0.5199999999999999,0.1953750971117571
8,util,objective,0.4957142857142857,0.17894817400463134
9,util,objective,0.4885714285714286,0.18863635245993227
