Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,0.7000000000000001
0,0,1,0,0.3
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5205423801010224
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.25
1,0,0,1,0.20000000000000004
1,0,1,0,0.5
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.3356203339292843
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.15
2,0,0,1,0.10000000000000002
2,0,1,0,0.2
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.14383728596969328
2,2,1,0,0.6
2,2,1,1,0.55
